Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
32934,1996,Oakland,,City,CA,California,Pacific,West,1996-10-28,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
34393,1996,Evanston,,City,IL,Illinois,East North Central,Midwest,1996-10-31,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33809,1996,San Francisco,,City,CA,California,Pacific,West,1996-10-31,Asian,Not Specified,2,Destruction/Damage/Vandalism of Property,2,Residence/Home,Anti-Asian,Individual,S,S
38502,1996,Oakland,,City,CA,California,Pacific,West,1996-10-31,Black or African American,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38950,1996,Redlands,,City,CA,California,Pacific,West,1996-10-31,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
38740,1996,Anne Arundel County Police Department,,County,MD,Maryland,South Atlantic,South,1996-11-01,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38086,1996,Los Angeles,,City,CA,California,Pacific,West,1996-11-01,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Specialty Store,Anti-Asian,Business,S,S
33316,1996,Los Angeles,,City,CA,California,Pacific,West,1996-11-03,White,Not Specified,2,Destruction/Damage/Vandalism of Property;Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,M,S
35585,1996,Rochester,,City,MN,Minnesota,West North Central,Midwest,1996-11-04,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
38089,1996,Los Angeles,,City,CA,California,Pacific,West,1996-11-04,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
38530,1996,University of California:,Irvine,University or College,CA,California,Pacific,West,1996-11-04,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
37818,1996,Tacoma,,City,WA,Washington,Pacific,West,1996-11-05,White,Not Specified,3,Intimidation,3,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
